"Submission ID","Respondent ID","Submitted at","1 Creo que me gustaría usar este sistema con frecuencia","2 Encontré el sistema innecesariamente complejo","3 Pensé que el sistema era fácil de usar","4 Creo que necesitaría el apoyo de un técnico para poder utilizar este sistema","5 Encontré que las diversas funciones de este sistema estaban bien integradas","6 Pensé que había demasiada inconsistencia en este sistema","7 Imagino que la mayoría de la gente aprendería a usar este sistema muy rápidamente.","8 Encontré el sistema muy engorroso de usar","9 Me sentí muy confiado al usar el sistema","10 Necesité aprender muchas cosas antes de poder seguir con este sistema.","Método A/B Testing","Edad","Género","Nivel de competencia digital","¿Usas gafas o lentillas?","Rol"
"BEXeBV1","Zj1xZ20","2026-05-23 16:05:35","3","2","2","4","2","2","3","4","4","2","A","22","H","Media","No","Estudiante"
"db6zPMK","zxGV1eE","2026-05-23 16:06:23","3","3","5","4","3","5","3","4","3","4","A","35","M","Media","Si","Otro"
"GezbL92","J9eyWWK","2026-05-23 16:07:40","4","1","5","1","4","1","4","1","5","1","A","25","H","Alta","Si","Otro"
"DqNa5VE","NpbzREl","2026-05-23 16:08:21","1","5","1","4","2","5","1","4","1","5","A","62","M","Baja","Si","Otro"
"M1bVLYk","2El2DyL","2026-05-23 16:08:51","4","2","3","3","2","3","3","2","3","4","A","21","H","Media","No","Estudiante"
"X5DQE2j","b5Ya612","2026-05-23 16:09:33","1","4","1","5","1","5","1","3","1","5","B","52","H","Baja","Si","Otro"
"7XWEo5L","lbYpMx6","2026-05-23 16:10:10","5","1","5","1","4","1","3","1","5","1","B","28","M","Alta","No","Estudiante"
"o9yzoLN","1ANjpZg","2026-05-23 16:10:55","3","3","1","4","2","4","3","2","4","2","B","45","H","Media","Si","Trabajador"
"4a8OL5A","LZa8kDl","2026-05-23 16:11:25","3","2","4","2","3","3","4","3","2","3","B","20","M","Media","Si","Estudiante"
"OQzEYDR","Y5J2kGB","2026-05-23 16:11:57","2","5","2","4","2","4","1","4","1","5","B","49","M","Baja","No","Otro"
